district,state,censuscode,centroid_lat,centroid_lon
Sitapur,Uttar Pradesh,154,27.51772,80.85739
Sivaganga,Tamil Nadu,622,9.91509,78.59866
Siwan,Bihar,218,26.16076,84.38955
Solan,Himachal Pradesh,31,31.04292,76.90954
Solapur,Maharashtra,526,17.78976,75.4829
Subarnapur,Odisha,392,20.93154,83.82486
Sonbhadra,Uttar Pradesh,200,24.40212,83.05352
Sonipat,Haryana,76,29.06172,76.8795
Sonitpur,Assam,306,26.78237,92.93925
South,NCT of Delhi,98,28.50136,77.22739
South,Sikkim,243,27.28676,88.38787
South 24 Parganas,West Bengal,343,22.11596,88.4169
South Garo Hills,Meghalaya,295,25.30162,90.5853
South Goa,Goa,586,15.19636,74.11844
South Tripura,Tripura,290,23.36845,91.60955
South West,NCT of Delhi,97,28.57238,77.02736
Srikakulam,Andhra Pradesh,542,18.57856,83.9881
Srinagar,Jammu & Kashmir,10,34.17578,74.91476
Sultanpur,Uttar Pradesh,179,26.27493,82.02011
Sundargarh,Odisha,374,22.07978,84.51058
Supaul,Bihar,208,26.2477,86.80009
Surat,Gujarat,492,21.26596,73.072
Surendranagar,Gujarat,475,22.79819,71.54011
Surguja,Chhattisgarh,401,23.35776,83.2194
Tamenglong,Manipur,273,24.94727,93.52726
Tarn Taran,Punjab,50,31.33732,74.84461
Tawang,Arunanchal Pradesh,245,27.66186,91.95358
Tehri Garhwal,Uttarakhand,59,30.43735,78.53702
Thane,Maharashtra,517,19.59915,73.1509
Thanjavur,Tamil Nadu,620,10.67152,79.2413
The Dangs,Gujarat,489,20.80435,73.70129
The Nilgiris,Tamil Nadu,611,11.45589,76.64188
Theni,Tamil Nadu,624,9.89024,77.43936
Thiruvallur,Tamil Nadu,602,13.24309,79.93997
Thiruvananthapuram,Kerala,601,8.60846,77.015
Thiruvarur,Tamil Nadu,619,10.67989,79.536
Thoothukkudi,Tamil Nadu,627,8.89084,78.00443
Thoubal,Manipur,276,24.53083,93.97161
Thrissur,Kerala,594,10.47118,76.31615
Tikamgarh,Madhya Pradesh,424,24.9883,78.94666
Tinsukia,Assam,309,27.57858,95.6265
Tirap,Arunanchal Pradesh,254,26.94712,95.44093
Tiruchirappalli,Tamil Nadu,614,10.88891,78.57044
Tirunelveli,Tamil Nadu,628,8.7987,77.54195
Tiruppur,Tamil Nadu,633,10.83813,77.40542
Tiruvannamalai,Tamil Nadu,606,12.43108,79.16769
Tonk,Rajasthan,120,26.14578,75.67187
Tuensang,Nagaland,267,26.20019,94.90575
Tumkur,Karnataka,571,13.52023,76.94767
Udaipur,Rajasthan,130,24.40766,73.7064
Udalguri,Assam,326,26.73007,92.03727
Udhampur,Jammu & Kashmir,19,32.89405,75.32763
Udham Singh Nagar,Uttarakhand,67,29.02746,79.52347
Udupi,Karnataka,569,13.46669,74.8835
Ujjain,Madhya Pradesh,435,23.33169,75.66839
Ukhrul,Manipur,279,25.02025,94.43398
Umaria,Madhya Pradesh,431,23.5644,80.97189
Una,Himachal Pradesh,29,31.58066,76.21008
Unnao,Uttar Pradesh,156,26.60918,80.55935
Upper Siang,Arunanchal Pradesh,252,28.83355,94.91806
Upper Subansiri,Arunanchal Pradesh,249,28.28995,93.93674
Uttar Dinajpur,West Bengal,330,25.88098,88.15825
Uttara Kannada,Karnataka,563,14.79409,74.62292
Uttarkashi,Uttarakhand,56,30.97305,78.60388
Vadodara,Gujarat,486,22.23308,73.53192
Vaishali,Bihar,220,25.76231,85.37001
Valsad,Gujarat,491,20.41852,73.11471
Varanasi,Uttar Pradesh,197,25.38805,82.91758
Vellore,Tamil Nadu,605,12.81227,79.01037
Vidisha,Madhya Pradesh,443,23.89271,77.81336
Viluppuram,Tamil Nadu,607,11.97347,79.29215
Virudunagar,Tamil Nadu,625,9.48397,77.94309
Visakhapatnam,Andhra Pradesh,544,17.8909,82.69247
Vizianagaram,Andhra Pradesh,543,18.46738,83.37928
Warangal,Andhra Pradesh,540,17.95517,79.79923
Wardha,Maharashtra,504,20.79577,78.58764
Washim,Maharashtra,502,20.23756,77.21904
Wayanad,Kerala,590,11.71125,76.09813
West,NCT of Delhi,96,28.65532,77.0657
West,Sikkim,242,27.34912,88.17794
West Garo Hills,Meghalaya,293,25.58505,90.14481
West Godavari,Andhra Pradesh,546,16.89462,81.40226
West Kameng,Arunanchal Pradesh,246,27.30287,92.41098
West Khasi Hills,Meghalaya,296,25.52649,91.26078
West Nimar,Madhya Pradesh,440,21.92048,75.77451
West Siang,Arunanchal Pradesh,250,28.32087,94.51161
West Tripura,Tripura,289,23.80223,91.46487
Wokha,Nagaland,264,26.18487,94.19263
Yadgir,Karnataka,580,16.62641,76.91364
Yavatmal,Maharashtra,510,20.08394,78.16223
Zunheboto,Nagaland,263,26.03163,94.52528
Kabeerdham,Chhattisgarh,407,22.09103,81.22308
Yamunanagar,Haryana,71,30.23644,77.30498
Jind,Haryana,77,29.43538,76.30093
Dausa,Rajasthan,109,26.8561,76.51395
Karauli,Rajasthan,107,26.52068,76.96385
Sawai Madhopur,Rajasthan,108,26.21685,76.46792
Arwal,Bihar,240,25.16158,84.6904
Jehanabad,Bihar,239,25.15657,85.03014
Nagappattinam,Tamil Nadu,618,10.84943,79.7389
Karaikal,Puducherry,637,10.93438,79.80206
Puducherry,Puducherry,635,11.9121,79.733
Yanam,Puducherry,634,16.72665,82.25456
Tapi,Gujarat,493,21.19157,73.63119
Nicobar,Andaman & Nicobar Island,638,7.51687,93.60285
South Andaman,Andaman & Nicobar Island,640,11.51926,92.64896
North & Middle Andaman,Andaman & Nicobar Island,639,12.8379,92.86752
Lakshadweep,Lakshadweep,587,11.09106,72.73506
